time	V(n003)
5.908001264042578e-004	-6.965244e-001
5.913037072079640e-004	-7.010484e-001
5.917555452883126e-004	-6.947986e-001
5.922481310496898e-004	-6.883971e-001
5.926642193299246e-004	-6.930625e-001
5.931292400904796e-004	-7.068059e-001
5.936095376002221e-004	-7.168049e-001
5.940360061675531e-004	-7.148936e-001
5.945461242803371e-004	-7.069615e-001
5.951017238378247e-004	-7.074640e-001
5.955464660898763e-004	-7.181011e-001
5.960469158976450e-004	-7.307944e-001
5.964867018362442e-004	-7.317908e-001
5.969662061433345e-004	-7.242702e-001
5.974646494517391e-004	-7.206255e-001
5.978900776738347e-004	-7.279049e-001
5.983987837652135e-004	-7.415953e-001
5.989598967264332e-004	-7.470666e-001
5.994334424631767e-004	-7.415965e-001
5.999485846005075e-004	-7.361915e-001
6.003844773291934e-004	-7.416727e-001
6.009242845663642e-004	-7.560925e-001
6.014291591916272e-004	-7.629787e-001
6.018803092463472e-004	-7.588481e-001
6.023945757579649e-004	-7.520219e-001
6.028528998722519e-004	-7.551986e-001
6.033171403944900e-004	-7.671694e-001
6.038110279444426e-004	-7.771784e-001
6.042685779058350e-004	-7.759758e-001
6.047956299710661e-004	-7.690357e-001
6.053648473824189e-004	-7.701717e-001
6.058391792964205e-004	-7.807338e-001
6.063547260934416e-004	-7.915838e-001
6.068229453703663e-004	-7.912020e-001
6.073743420671046e-004	-7.841865e-001
6.079216426304525e-004	-7.847932e-001
6.083910834544956e-004	-7.948900e-001
6.089077113978529e-004	-8.059277e-001
6.093879646197935e-004	-8.060745e-001
6.099481919769345e-004	-7.992244e-001
6.104896260295522e-004	-7.995185e-001
6.109619899585184e-004	-8.093122e-001
6.114816484651134e-004	-8.202768e-001
6.119725893338048e-004	-8.206218e-001
6.125390951452464e-004	-8.140141e-001
6.130848811824049e-004	-8.144463e-001
6.135659089287958e-004	-8.242392e-001
6.140895054724060e-004	-8.347786e-001
6.145886496315137e-004	-8.348155e-001
6.151540437471414e-004	-8.285658e-001
6.157192924723055e-004	-8.297300e-001
6.162178290349242e-004	-8.398905e-001
6.167473517361528e-004	-8.494779e-001
6.172520976648282e-004	-8.485356e-001
6.178085064789822e-004	-8.429327e-001
6.184221172717227e-004	-8.459441e-001
6.189934890109325e-004	-8.574404e-001
6.195319582713428e-004	-8.643736e-001
6.200403134982872e-004	-8.611717e-001
