time	V(n003)
6.755520547361811e-004	-1.101885e+000
6.864155421885169e-004	-1.135251e+000
6.972790296408526e-004	-1.163044e+000
7.081425170931882e-004	-1.185264e+000
7.190060045455239e-004	-1.201911e+000
7.298694919978596e-004	-1.212985e+000
7.407329794501952e-004	-1.218486e+000
7.515964669025310e-004	-1.218415e+000
7.664083845873553e-004	-1.208323e+000
7.848806813843458e-004	-1.180317e+000
8.141775563843458e-004	-1.105635e+000
8.434744313843459e-004	-9.979791e-001
8.727713063843459e-004	-8.573315e-001
9.020681813843459e-004	-6.884367e-001
9.313650563843460e-004	-4.970060e-001
9.606619313843460e-004	-2.895766e-001
9.899588063843460e-004	-7.883089e-002
1.000552824097709e-003	-1.747964e-002
1.006685088174167e-003	8.811287e-003
1.012967643678497e-003	5.479161e-002
1.016273876202516e-003	9.567686e-002
1.020374053824341e-003	1.437373e-001
1.023741529376275e-003	1.720269e-001
1.033819222232015e-003	2.480608e-001
1.040742888669407e-003	2.992256e-001
1.052294173690941e-003	3.825423e-001
1.066219198414472e-003	4.791501e-001
1.089963901054919e-003	6.334789e-001
1.116956905311713e-003	7.912820e-001
1.146253780311713e-003	9.361938e-001
1.175550655311713e-003	1.048854e+000
1.204847530311713e-003	1.126815e+000
1.229793423251872e-003	1.166239e+000
1.245122570863884e-003	1.175205e+000
1.263186670304238e-003	1.168578e+000
1.286462623185500e-003	1.136354e+000
1.315759498185500e-003	1.061777e+000
1.345056373185500e-003	9.523966e-001
1.374353248185500e-003	8.105428e-001
1.403650123185500e-003	6.410251e-001
1.432946998185500e-003	4.496773e-001
1.462243873185500e-003	2.446811e-001
1.485608193693788e-003	8.242271e-002
1.496707369162082e-003	2.006024e-002
1.503715848127642e-003	-1.546656e-002
1.506480552609983e-003	-6.127899e-002
1.507530914225994e-003	-1.064299e-001
1.508405784455902e-003	-1.438647e-001
1.508901068112084e-003	-1.412242e-001
1.509344365877343e-003	-1.206734e-001
1.509841149834887e-003	-9.893596e-002
1.510436540358867e-003	-8.930106e-002
1.510862113194014e-003	-9.770389e-002
1.511385321823376e-003	-1.219580e-001
1.512128036302377e-003	-1.559506e-001
1.512643890271891e-003	-1.643192e-001
1.513147640632961e-003	-1.544903e-001
1.513711555943339e-003	-1.370331e-001
1.514274734306807e-003	-1.284034e-001
1.514773548925122e-003	-1.354855e-001
1.515384760848544e-003	-1.576409e-001
1.515993821610767e-003	-1.791887e-001
1.516477581427149e-003	-1.852696e-001
1.517019058563629e-003	-1.782770e-001
1.517628624291708e-003	-1.663259e-001
1.518175133225517e-003	-1.635681e-001
1.518718933664409e-003	-1.733595e-001
1.519375416000404e-003	-1.920991e-001
1.520147849270071e-003	-2.061016e-001
1.520756275663606e-003	-2.047577e-001
1.521493336808742e-003	-1.976374e-001
1.522248086095348e-003	-2.004156e-001
1.522926405383076e-003	-2.137806e-001
1.523658452180955e-003	-2.286273e-001
1.524268004210634e-003	-2.319467e-001
1.525025605102526e-003	-2.281207e-001
1.525807527425928e-003	-2.288244e-001
1.526483401901488e-003	-2.381689e-001
1.527341584542655e-003	-2.524811e-001
1.528139215320305e-003	-2.574916e-001
1.529114088261851e-003	-2.574189e-001
1.530025362524338e-003	-2.635843e-001
1.530939299895879e-003	-2.758986e-001
1.531910386496867e-003	-2.844830e-001
1.532810130449934e-003	-2.866183e-001
1.533828648823898e-003	-2.922890e-001
1.534772071675975e-003	-3.029745e-001
1.535838801573069e-003	-3.123117e-001
1.536860877215210e-003	-3.164481e-001
1.538010911877856e-003	-3.240720e-001
1.539160797135151e-003	-3.354140e-001
1.540392062721822e-003	-3.441132e-001
1.541910186113966e-003	-3.528684e-001
1.544999834574140e-003	-3.770480e-001
1.546578652757265e-003	-3.868085e-001
1.550202332821547e-003	-4.139177e-001
1.559378597736810e-003	-4.786881e-001
1.568554862652073e-003	-5.414903e-001
1.577731127567336e-003	-6.023243e-001
1.586907392482599e-003	-6.611899e-001
1.596083657397862e-003	-7.180873e-001
1.605259922313125e-003	-7.730165e-001
1.614436187228388e-003	-8.259773e-001
1.631588881289092e-003	-9.163651e-001
1.649865515375375e-003	-1.001605e+000
1.667462831042378e-003	-1.071620e+000
1.679556012807048e-003	-1.112580e+000
1.691649194571718e-003	-1.146780e+000
1.703742376336388e-003	-1.174219e+000
1.715835558101057e-003	-1.194899e+000
1.727928739865727e-003	-1.208818e+000
1.740021921630397e-003	-1.215978e+000
1.752115103395067e-003	-1.216377e+000
1.761717509854547e-003	-1.211648e+000
1.771508303747108e-003	-1.202351e+000
1.782687370836716e-003	-1.185958e+000
1.796463018848277e-003	-1.157704e+000
1.812616994497388e-003	-1.112031e+000
1.841913869497388e-003	-1.002023e+000
1.871210744497388e-003	-8.630306e-001
1.900507619497388e-003	-6.955141e-001
1.929804494497388e-003	-5.051355e-001
1.959101369497388e-003	-2.983841e-001
1.988398244497388e-003	-8.941574e-002
2.001512492367182e-003	-1.417130e-002
2.009047153539841e-003	2.451603e-002
2.013696632274580e-003	6.976293e-002
2.016980076885248e-003	1.120737e-001
2.020737334067369e-003	1.503502e-001
2.024203564925089e-003	1.779619e-001
2.035288218694925e-003	2.615302e-001
2.042376296484171e-003	3.136734e-001
2.055027558909586e-003	4.044143e-001
2.069144935583788e-003	5.015835e-001
2.092879326899659e-003	6.540360e-001
2.120504243299366e-003	8.128136e-001
2.149801118299366e-003	9.541376e-001
2.179097993299366e-003	1.062559e+000
2.208394868299366e-003	1.136716e+000
2.231120667726020e-003	1.170002e+000
2.246822446540244e-003	1.177934e+000
2.263818829626308e-003	1.170800e+000
2.287490551032758e-003	1.136750e+000
2.316787426032758e-003	1.060959e+000
2.346084301032758e-003	9.503441e-001
2.375381176032758e-003	8.074256e-001
2.404678051032757e-003	6.370221e-001
2.433974926032757e-003	4.450141e-001
2.463271801032757e-003	2.397009e-001
2.486647663374218e-003	7.895549e-002
2.498654841655876e-003	1.294500e-002
2.505105875060765e-003	-2.488905e-002
2.506988881806827e-003	-7.071102e-002
2.507960664771782e-003	-1.153800e-001
2.508982325521777e-003	-1.432004e-001
2.509422708820808e-003	-1.317036e-001
2.510043696857154e-003	-1.010650e-001
2.510619864041428e-003	-8.698635e-002
2.511083282443357e-003	-9.381448e-002
2.511627169596286e-003	-1.192911e-001
2.512189373035364e-003	-1.497717e-001
2.512689108898743e-003	-1.659347e-001
2.513120898848476e-003	-1.631970e-001
2.513676471369438e-003	-1.454865e-001
2.514260740446595e-003	-1.286367e-001
2.514720002755942e-003	-1.268952e-001
2.515222311219263e-003	-1.401876e-001
2.515798933573622e-003	-1.633721e-001
2.516498921410296e-003	-1.837205e-001
2.517008497647548e-003	-1.836133e-001
2.517680219693640e-003	-1.699885e-001
2.518291230809178e-003	-1.616082e-001
2.518774143428761e-003	-1.663091e-001
2.519365874397309e-003	-1.838106e-001
2.519995555887273e-003	-2.023945e-001
2.520521815481892e-003	-2.081053e-001
2.521114998554638e-003	-2.027523e-001
2.521772630777519e-003	-1.948356e-001
2.522334911125607e-003	-1.963691e-001
2.522937100431927e-003	-2.087344e-001
2.523627669148995e-003	-2.251552e-001
2.524240964202982e-003	-2.313042e-001
2.524906837457659e-003	-2.282120e-001
2.525640755359572e-003	-2.250173e-001
2.526269287570787e-003	-2.307200e-001
2.527066795636175e-003	-2.453986e-001
2.527880784038247e-003	-2.554266e-001
2.528579144683882e-003	-2.559542e-001
2.529454452855782e-003	-2.555351e-001
2.530190312845150e-003	-2.625117e-001
2.531194893571583e-003	-2.765485e-001
2.532185559711585e-003	-2.833606e-001
2.533329345708580e-003	-2.865082e-001
2.534383241402592e-003	-2.951412e-001
2.535697806562921e-003	-3.088260e-001
2.536917684212312e-003	-3.156177e-001
2.538193433360413e-003	-3.226765e-001
2.539309585571212e-003	-3.334248e-001
2.540585196639535e-003	-3.435470e-001
2.541810001500515e-003	-3.497874e-001
2.544815661333318e-003	-3.736566e-001
2.548072384929925e-003	-3.954845e-001
2.549997769962219e-003	-4.103853e-001
2.554324860774638e-003	-4.407339e-001
2.558651951587056e-003	-4.707918e-001
2.562979042399474e-003	-5.005591e-001
2.567306133211892e-003	-5.300357e-001
2.571633224024310e-003	-5.592215e-001
2.575960314836728e-003	-5.881167e-001
2.580287405649146e-003	-6.167212e-001
2.597096281645963e-003	-7.227920e-001
2.617360558765783e-003	-8.397824e-001
2.633051434671521e-003	-9.214171e-001
2.649875478324468e-003	-9.991680e-001
2.658754712670429e-003	-1.035764e+000
2.668384867475101e-003	-1.071764e+000
2.679849378334957e-003	-1.109573e+000
2.691207998731278e-003	-1.141546e+000
2.703940564311125e-003	-1.170376e+000
2.717442161972604e-003	-1.192918e+000
2.732488409495355e-003	-1.208289e+000
2.746653932720861e-003	-1.213657e+000
2.758868156090899e-003	-1.210932e+000
2.768215636740957e-003	-1.204255e+000
2.779250042418906e-003	-1.190910e+000
2.792401401554089e-003	-1.166488e+000
2.805552760689273e-003	-1.134702e+000
2.818704119824456e-003	-1.095553e+000
2.831855478959640e-003	-1.049039e+000
2.845006838094823e-003	-9.951628e-001
2.858158197230006e-003	-9.339227e-001
2.871309556365189e-003	-8.653189e-001
2.889858284347040e-003	-7.595286e-001
2.919155159347040e-003	-5.743350e-001
2.948452034347039e-003	-3.727323e-001
2.977748909347039e-003	-1.599229e-001
2.991608058184917e-003	-6.198130e-002
3.000338916803836e-003	-1.426679e-002
3.005075686867505e-003	2.223181e-003
3.010435450951776e-003	3.075033e-002
3.013320485589648e-003	6.482235e-002
3.016621641201684e-003	1.114258e-001
3.020049981575053e-003	1.471508e-001
3.023434997563625e-003	1.743084e-001
3.035317429170847e-003	2.638497e-001
3.047321413959419e-003	3.514551e-001
3.063069038230045e-003	4.614701e-001
3.092365913230045e-003	6.517600e-001
3.121662788230045e-003	8.208222e-001
3.150959663230044e-003	9.612763e-001
3.180256538230044e-003	1.068274e+000
3.209553413230044e-003	1.141204e+000
3.231553254827975e-003	1.172619e+000
3.247590953579630e-003	1.180186e+000
3.264104544288099e-003	1.172830e+000
3.287955095184606e-003	1.137998e+000
3.317251970184606e-003	1.061634e+000
3.346548845184606e-003	9.504629e-001
3.375845720184606e-003	8.070577e-001
3.405142595184606e-003	6.362511e-001
3.434439470184605e-003	4.439424e-001
3.463736345184605e-003	2.384465e-001
3.487059243460473e-003	7.842264e-002
3.499190893354880e-003	1.154599e-002
3.505686498550889e-003	-3.859304e-002
3.508074644981823e-003	-1.004858e-001
3.509259446911110e-003	-1.394431e-001
3.509976893588526e-003	-1.341684e-001
3.510443224933215e-003	-1.133384e-001
3.510996106758291e-003	-9.427392e-002
3.511548820242877e-003	-9.455612e-002
3.512055776724561e-003	-1.128649e-001
3.512608166066830e-003	-1.415371e-001
3.513233086727243e-003	-1.641201e-001
3.513757612115532e-003	-1.637120e-001
3.514261589967866e-003	-1.489104e-001
3.514796415101635e-003	-1.333142e-001
3.515293838650168e-003	-1.299566e-001
3.515740341777355e-003	-1.399628e-001
3.516304045472128e-003	-1.616316e-001
3.517052654885637e-003	-1.843391e-001
3.517572413017489e-003	-1.859323e-001
3.518166777861268e-003	-1.748345e-001
3.518789773556196e-003	-1.651563e-001
3.519297000065086e-003	-1.680711e-001
3.519863316791242e-003	-1.831976e-001
3.520487481168561e-003	-2.018869e-001
3.521038572345420e-003	-2.095777e-001
3.521606058497948e-003	-2.060657e-001
3.522267376649205e-003	-1.983537e-001
3.522872857287396e-003	-1.989186e-001
3.523479940594388e-003	-2.100495e-001
3.524195534475083e-003	-2.261547e-001
3.524886278649236e-003	-2.328614e-001
3.525590516540420e-003	-2.302132e-001
3.526352313687073e-003	-2.283698e-001
3.527000434442520e-003	-2.352576e-001
3.527894240692713e-003	-2.505695e-001
3.528779236556228e-003	-2.583184e-001
3.529610431667290e-003	-2.582949e-001
3.530508517207207e-003	-2.616349e-001
3.531296589948787e-003	-2.716457e-001
3.532252237406590e-003	-2.833349e-001
3.533067901028405e-003	-2.867026e-001
3.534118419229368e-003	-2.896948e-001
3.535054624583996e-003	-2.985768e-001
3.536162590337938e-003	-3.104199e-001
3.537221872684984e-003	-3.160725e-001
3.538432479296036e-003	-3.222818e-001
3.539518425780502e-003	-3.324868e-001
3.540775643764669e-003	-3.429424e-001
3.541982595896600e-003	-3.492820e-001
3.544879043344855e-003	-3.720704e-001
3.548123158857420e-003	-3.937569e-001
3.549923684122244e-003	-4.078013e-001
3.558404375035208e-003	-4.675740e-001
3.566885065948172e-003	-5.257390e-001
3.575365756861135e-003	-5.822962e-001
3.583846447774099e-003	-6.372457e-001
3.592327138687062e-003	-6.905874e-001
3.600807829600026e-003	-7.423213e-001
3.609288520512990e-003	-7.924474e-001
3.627976678687236e-003	-8.934667e-001
3.639270444248086e-003	-9.484522e-001
3.654196395469219e-003	-1.013825e+000
3.669694151879825e-003	-1.072507e+000
3.687958096875729e-003	-1.128404e+000
3.708055511070688e-003	-1.172981e+000
3.730646685240483e-003	-1.203480e+000
3.745721644988982e-003	-1.210507e+000
3.763409490978358e-003	-1.202682e+000
3.785101950340114e-003	-1.173993e+000
3.806204551257272e-003	-1.125465e+000
3.831405718352362e-003	-1.041003e+000
3.860702593352362e-003	-9.121878e-001
3.889999468352362e-003	-7.543184e-001
3.919296343352361e-003	-5.714473e-001
3.948593218352362e-003	-3.697829e-001
3.977890093352362e-003	-1.569607e-001
3.990517513773867e-003	-6.692170e-002
3.998920156539933e-003	-1.767261e-002
4.003356655726998e-003	-2.203273e-003
4.008836127331964e-003	1.963194e-002
4.012237481857122e-003	5.405047e-002
4.015330570376204e-003	9.794625e-002
4.018733279930596e-003	1.372919e-001
4.022568821202039e-003	1.696162e-001
4.031941795305877e-003	2.407315e-001
4.041663142079157e-003	3.125874e-001
4.052545773036381e-003	3.906439e-001
4.074311034950830e-003	5.395531e-001
4.097979409872275e-003	6.891128e-001
4.127276284872275e-003	8.520128e-001
4.156573159872275e-003	9.863863e-001
4.185870034872276e-003	1.086554e+000
4.215166909872276e-003	1.153455e+000
4.233644714970229e-003	1.176718e+000
4.249465143738704e-003	1.182320e+000
4.264801203206390e-003	1.174425e+000
4.289087673864782e-003	1.137563e+000
4.318384548864782e-003	1.059850e+000
4.347681423864783e-003	9.473377e-001
4.376978298864783e-003	8.027713e-001
4.406275173864783e-003	6.310045e-001
4.435572048864783e-003	4.379903e-001
4.464868923864784e-003	2.321271e-001
4.486468541831304e-003	8.216721e-002
4.497545409730380e-003	1.984478e-002
4.504171165362159e-003	-1.056951e-002
4.506973025827363e-003	-4.784042e-002
4.508011309739005e-003	-9.177908e-002
4.508808892180606e-003	-1.332909e-001
4.509552346564472e-003	-1.423125e-001
4.509975852384142e-003	-1.264404e-001
4.510491380358334e-003	-1.001864e-001
4.510975293068928e-003	-8.687522e-002
4.511413997942146e-003	-9.034481e-002
4.511910301232918e-003	-1.102742e-001
4.512433514567844e-003	-1.380766e-001
4.513067196297744e-003	-1.628473e-001
4.513490367630872e-003	-1.636356e-001
4.514077788950705e-003	-1.467210e-001
4.514638293507143e-003	-1.298789e-001
4.515089723513654e-003	-1.262193e-001
4.515602175537942e-003	-1.374521e-001
4.516194659903362e-003	-1.605351e-001
4.516838269048399e-003	-1.815330e-001
4.517322254076347e-003	-1.844210e-001
4.517890668774865e-003	-1.743643e-001
4.518500168984330e-003	-1.628499e-001
4.519002181940400e-003	-1.628070e-001
4.519558109611716e-003	-1.755422e-001
4.520193122641149e-003	-1.945733e-001
4.520892845670443e-003	-2.059897e-001
4.521508928432986e-003	-2.032188e-001
4.522206809242633e-003	-1.956149e-001
4.522875839546639e-003	-1.976480e-001
4.523514295327701e-003	-2.105663e-001
4.524223507705147e-003	-2.263588e-001
4.524821229521843e-003	-2.309755e-001
4.525527102341851e-003	-2.273372e-001
4.526279130903010e-003	-2.256828e-001
4.526918457018947e-003	-2.329083e-001
4.527790932067756e-003	-2.481046e-001
4.528693109771151e-003	-2.558103e-001
4.529538881303701e-003	-2.556599e-001
4.530434315181472e-003	-2.592227e-001
4.531221516808846e-003	-2.694903e-001
4.532167589219307e-003	-2.810454e-001
